HU0000/ mikrofonproba/ Mikrofonpróba
HU0001/ vhm_00001_00000000001/ Talpra magyar hí a haza Itt az idő most vagy soha
HU0002/ vhm_00001_00000000002/ Rabok legyünk vagy szabadok Ez a kérdés válasszatok
HU0003/ vhm_00001_00000000003/ A magyarok istenére Esküszünk Esküszünk hogy rabok tovább Nem leszünk
HU0004/ vhm_00001_00000000004/ Rabok voltunk mostanáig Kárhozottak ősapáink
HU0005/ vhm_00001_00000000005/ Kik szabadon éltek-haltak Szolgaföldben nem nyughatnak
HU0006/ vhm_00001_00000000006/ Sehonnai bitang ember Ki most ha kell halni nem mer
HU0007/ vhm_00001_00000000007/ Kinek drágább rongy élete Mint a haza becsülete
HU0008/ vhm_00001_00000000008/ Fényesebb a láncnál a kard Jobban ékesíti a kart
HU0009/ vhm_00001_00000000009/ És mi mégis láncot hordunk Ide veled régi kardunk
HU0010/ vhm_00001_00000000010/ A magyar név megint szép lesz Méltó régi nagy hiréhez
HU0011/ vhm_00001_00000000011/ Mit rákentek a századok Lemossuk a gyalázatot
HU0012/ vhm_00001_00000000012/ Hol sírjaink domborulnak unokáink leborulnak
HU0013/ vhm_00001_00000000013/ És áldó imádság mellett mondják el szent neveinket
HU0014/ chm_00001_00000000001/ Kapcsold fel a lámpát
HU0015/ chm_00001_00000000002/ Kapcsold le a lámpát 
HU0016/ chm_00001_00000000003/ Kapcsold be a lámpát
HU0017/ chm_00001_00000000004/ Kapcsold ki a lámpát
HU0018/ chm_00001_00000000005/ Játssz le zenét
HU0019/ chm_00001_00000000006/ Kapcsolj be zenét
HU0020/ chm_00001_00000000007/ Kapcsold ki a zenét
HU0021/ chm_00001_00000000008/ Kapcsold le a zenét
HU0022/ chm_00001_00000000009/ Csökkentsd a zene hangerejét
HU0023/ chm_00001_00000000010/ Emelj a zene hangerején
HU1014/ qhm_00001_00000000001/ Mennyi az idő
HU1015/ qhm_00001_00000000002/ Hány óra van 
HU1016/ qhm_00001_00000000003/ Milyen az időjárás
HU1017/ qhm_00001_00000000004/ Milyen idő van
HU1018/ qhm_00001_00000000005/ Milyen nap van ma
HU1019/ qhm_00001_00000000006/ Milyen idő várható
HU1020/ qhm_00001_00000000007/ Mennyi a Bitcoin árfolyama
HU1021/ qhm_00001_00000000008/ Mennyi az Euró árfolyama
HU1022/ qhm_00001_00000000009/ Mennyi az arany árfolyama
HU1023/ qhm_00001_00000000010/ Mik a mai teendők
